Day Index,Sessions
1-Jan-13,0
2-Jan-13,0
3-Jan-13,0
4-Jan-13,0
5-Jan-13,0
6-Jan-13,0
7-Jan-13,0
8-Jan-13,0
9-Jan-13,0
10-Jan-13,0
11-Jan-13,0
12-Jan-13,0
13-Jan-13,0
14-Jan-13,0
15-Jan-13,0
16-Jan-13,0
17-Jan-13,0
18-Jan-13,0
19-Jan-13,0
20-Jan-13,0
21-Jan-13,0
22-Jan-13,0
23-Jan-13,0
24-Jan-13,0
25-Jan-13,0
26-Jan-13,0
27-Jan-13,0
28-Jan-13,0
29-Jan-13,0
30-Jan-13,0
31-Jan-13,0
1-Feb-13,0
2-Feb-13,0
3-Feb-13,0
4-Feb-13,0
5-Feb-13,0
6-Feb-13,0
7-Feb-13,0
8-Feb-13,0
9-Feb-13,0
10-Feb-13,0
11-Feb-13,0
12-Feb-13,0
13-Feb-13,0
14-Feb-13,0
15-Feb-13,0
16-Feb-13,0
17-Feb-13,0
18-Feb-13,0
19-Feb-13,0
20-Feb-13,0
21-Feb-13,0
22-Feb-13,0
23-Feb-13,0
24-Feb-13,0
25-Feb-13,0
26-Feb-13,0
27-Feb-13,0
28-Feb-13,0
1-Mar-13,0
2-Mar-13,0
3-Mar-13,0
4-Mar-13,0
5-Mar-13,0
6-Mar-13,0
7-Mar-13,0
8-Mar-13,0
9-Mar-13,0
10-Mar-13,0
11-Mar-13,0
12-Mar-13,0
13-Mar-13,0
14-Mar-13,0
15-Mar-13,0
16-Mar-13,0
17-Mar-13,0
18-Mar-13,0
19-Mar-13,0
20-Mar-13,0
21-Mar-13,0
22-Mar-13,0
23-Mar-13,0
24-Mar-13,0
25-Mar-13,0
26-Mar-13,0
27-Mar-13,0
28-Mar-13,0
29-Mar-13,0
30-Mar-13,0
31-Mar-13,0
1-Apr-13,0
2-Apr-13,0
3-Apr-13,0
4-Apr-13,0
5-Apr-13,0
6-Apr-13,0
7-Apr-13,0
8-Apr-13,0
9-Apr-13,0
10-Apr-13,0
11-Apr-13,0
12-Apr-13,0
13-Apr-13,0
14-Apr-13,0
15-Apr-13,0
16-Apr-13,0
17-Apr-13,0
18-Apr-13,0
19-Apr-13,0
20-Apr-13,0
21-Apr-13,0
22-Apr-13,0
23-Apr-13,0
24-Apr-13,0
25-Apr-13,0
26-Apr-13,0
27-Apr-13,0
28-Apr-13,0
29-Apr-13,0
30-Apr-13,0
1-May-13,0
2-May-13,0
3-May-13,0
4-May-13,0
5-May-13,0
6-May-13,0
7-May-13,0
8-May-13,0
9-May-13,0
10-May-13,0
11-May-13,0
12-May-13,0
13-May-13,0
14-May-13,0
15-May-13,0
16-May-13,0
17-May-13,0
18-May-13,0
19-May-13,0
20-May-13,0
21-May-13,0
22-May-13,0
23-May-13,0
24-May-13,0
25-May-13,0
26-May-13,0
27-May-13,0
28-May-13,0
29-May-13,0
30-May-13,0
31-May-13,0
1-Jun-13,0
2-Jun-13,0
3-Jun-13,0
4-Jun-13,0
5-Jun-13,0
6-Jun-13,0
7-Jun-13,0
8-Jun-13,0
9-Jun-13,0
10-Jun-13,0
11-Jun-13,0
12-Jun-13,0
13-Jun-13,0
14-Jun-13,0
15-Jun-13,0
16-Jun-13,0
17-Jun-13,0
18-Jun-13,0
19-Jun-13,0
20-Jun-13,0
21-Jun-13,0
22-Jun-13,0
23-Jun-13,0
24-Jun-13,0
25-Jun-13,0
26-Jun-13,0
27-Jun-13,0
28-Jun-13,0
29-Jun-13,0
30-Jun-13,0
1-Jul-13,0
2-Jul-13,0
3-Jul-13,0
4-Jul-13,0
5-Jul-13,0
6-Jul-13,0
7-Jul-13,0
8-Jul-13,0
9-Jul-13,0
10-Jul-13,0
11-Jul-13,0
12-Jul-13,0
13-Jul-13,0
14-Jul-13,0
15-Jul-13,0
16-Jul-13,0
17-Jul-13,0
18-Jul-13,0
19-Jul-13,0
20-Jul-13,0
21-Jul-13,0
22-Jul-13,0
